filename,class
2MASS_J20475256+4345137.png,0
2MASS_J20510895+4416420.png,0
2MASS_J20512059+4420322.png,b
FHK_138.png,qpd
FHK_155.png,b
FHK_165.png,b:l
FHK_181.png,qpd
FHK_182.png,p:l
FHK_192.png,p:l
FHK_216.png,0
FHK_217.png,0
FHK_21.png,b
FHK_26.png,qpd:p
FHK_278.png,qpd
FHK_344.png,qpd
FHK_348.png,b
FHK_35.png,apd
FHK_362.png,b
FHK_418.png,0
FHK_430.png,0
FHK_459.png,0
FHK_45.png,b
FHK_496.png,b:p
FHK_506.png,qpd
FHK_543.png,0
FHK_562.png,b
FHK_56.png,0
FHK_75.png,0
FHK_79.png,qpd:l
GDR1_2066844954118735744.png,0
GDR1_2067026815919131392.png,b:l
GDR1_2067032760152922112.png,0
GDR1_2067067807089176192.png,apd
GDR1_2067069937403328128.png,b
GDR1_2162091003573281920.png,b
GDR1_2162091278451209472.png,b
GDR1_2162121961697794304.png,0
GDR1_2162127974652045056.png,b:p
GDR1_2162128009011784832.png,0
GDR1_2162221673657763584.png,qpd
GDR1_2162221673657766272.png,qpd
GDR1_2162251394832460672.png,0
GDR1_2162886775113495552.png,0
GDR1_2162909830498130048.png,qpd
GDR1_2162932993257907584.png,0
GDR1_2162939173714801152.png,apd
GDR1_2162939792190072448.png,qpd
GDR1_2162940067068027264.png,qpd
GDR1_2162944911791083136.png,qpd
GDR1_2162945976943020416.png,apd
GDR1_2162947798009095808.png,0
GDR1_2162949309837722880.png,qpd
GDR1_2162952470933669632.png,qpd
GDR1_2162955803828359040.png,0
GDR1_2162961267026674432.png,0
GDR1_2162967795377160064.png,b
GDR1_2162969788241973632.png,b
GDR1_2162975698125115392.png,0
GDR1_2163017101601143040.png,b
GDR1_2163020881172468608.png,0
GDR1_2163135677060562176.png,qpd
GDR1_2163136746511218176.png,qpd
GDR1_2163137738645105280.png,qpd:l
GDR1_2163138361418522624.png,apd
GDR1_2163139804527939968.png,qpd
GDR1_2163140315626344064.png,qpd
GDR1_2163140315626346880.png,b:l
GDR1_2163155055959979392.png,qpd
GDR2_2067027228235955584.png,qpd
GDR2_2162951684957670144.png,0
GDR2_2163136059317926016.png,qpd
GDR2_2163137120170654720.png,0
PSO_J205647.351+434127.587.png,b
PSO_J205818.503+435346.014.png,qpd
